year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2002,8,-0.10810744,-0.60374,-0,-0.10810744,-0.01798998,-0.09011746
2002,9,-0.01045039,-1.01173,-0,-0.01045039,0.05520938,-0.06565977
2002,10,0,0,0,0,0,0
2002,11,-0.10424808,-0.53662,-0,-0.10424808,-0.02006964,-0.08417844
2002,12,0.01937603,-0.2987,0.01937603,0,0.02753053,-0.0081545
2003,1,0.04366078,0.15934,0,0.04366078,0.01231239,0.03134839
2003,2,0,0,0,0,0,0
2003,3,0.00355803,-0.43291,0.00355803,0,0.02763842,-0.02408039
2003,4,0,0,0,0,0,0
2003,5,-0.09437278,0.12916,-0.09437278,-0,-0.05490162,-0.03947116
2003,6,0.113628,-0.20488,0.113628,0,0.06905228,0.04457572
2003,7,0,0,0,0,0,0
2003,8,-0.03389467,-0.07643,-0,-0.03389467,-0.01238187,-0.0215128
2003,9,-0.00172969,0.09982,-0.00172969,-0,-0.00682748,0.00509779
2003,10,-0.08113121,-0.0135,-0,-0.08113121,-0.0397592,-0.04137201
2003,11,0,0,0,0,0,0
2003,12,0.03126002,-0.11632,0.03126002,0,0.02257826,0.00868176
2004,1,0.13152206,-0.91791,0.13152206,0,0.12059137,0.01093069
2004,2,0,0,0,0,0,0
2004,3,-0.05923275,-0.05315,-0,-0.05923275,-0.02644152,-0.03279123
2004,4,0,0,0,0,0,0
2004,5,0.00698814,0.36501,0,0.00698814,-0.0183094,0.02529754
2004,6,-0.02934287,0.26758,-0.02934287,-0,-0.03065503,0.00131216
2004,7,0,0,0,0,0,0
2004,8,0.05110216,-0.30232,0.05110216,0,0.04360983,0.00749233
2004,9,-0.01574516,0.0293,-0.01574516,-0,-0.00962278,-0.00612238
2004,10,0,0,0,0,0,0
2004,11,-0.03057835,0.1175,-0.03057835,-0,-0.02230791,-0.00827044
2004,12,-0.01615857,0.06497,-0.01615857,-0,-0.0119602,-0.00419837
2005,1,0,0,0,0,0,0
2005,2,-0.01446843,0.01929,-0.01446843,-0,-0.00838648,-0.00608195
2005,3,0.07005651,-0.33953,0.07005651,0,0.0553097,0.01474681
2005,4,0,0,0,0,0,0
2005,5,0.00572895,0.621,-0.02154637,0.02727532,-0.03423027,0.03995922
2005,6,0.0485287,-0.41325,0.0485287,0,0.04894938,-0.00042068
2005,7,0,0,0,0,0,0
2005,8,-0.02052141,0.21427,-0.02052141,-0,-0.02305989,0.00253848
2005,9,0.02526877,-0.15015,0.02526877,0,0.02160343,0.00366534
2005,10,0,0,0,0,0,0
2005,11,0.00672947,0.2192,0,0.00672947,-0.00972893,0.0164584
2005,12,-0.02810171,0.52662,-0.02810171,-0,-0.04550792,0.01740621
2006,1,0.03074544,-0.22803,0.03074544,0,0.02899384,0.0017516
2006,2,0,0,0,0,0,0
2006,3,0.04747298,-0.62108,0.04747298,0,0.06083602,-0.01336304
2006,4,0,0,0,0,0,0
2006,5,0.05238256,-0.19309,0.05238256,0,0.0377253,0.01465726
2006,6,-0.04426553,0.54151,-0.04426553,-0,-0.05447927,0.01021374
2006,7,0,0,0,0,0,0
2006,8,-0.04160101,-0.2469,-0,-0.04160101,-0.00605221,-0.0355488
2006,9,0.01850076,-0.26777,0.01850076,0,0.02524532,-0.00674456
2006,10,-0.01078485,-0.07474,-0,-0.01078485,-0.00092791,-0.00985694
2006,11,0,0,0,0,0,0
2006,12,-0.03341799,0.26109,-0.03341799,-0,-0.03230492,-0.00111307
2007,1,-0.00834486,0.4816,-0.00834486,-0,-0.03294027,0.02459541
2007,2,0,0,0,0,0,0
2007,3,-0.08636922,0.81634,-0.08636922,-0,-0.09194778,0.00557856
2007,4,0,0,0,0,0,0
2007,5,0.03789308,-0.13457,0.03789308,0,0.02698493,0.01090815
2007,6,0.01252692,-0.27362,0.01252692,0,0.02260785,-0.01008093
2007,7,0,0,0,0,0,0
2007,8,-0.05483761,-1.25388,-0.0294549,-0.02538271,0.04748032,-0.10231793
2007,9,-0.21092534,1.32029,-0.21092534,-0,-0.18432873,-0.02659661
2007,10,0.05529404,-0.41526,0.05529404,0,0.05245212,0.00284192
2007,11,0,0,0,0,0,0
2007,12,0.03888814,-1.76769,0.03888814,0,0.12503508,-0.08614694
2008,1,-0.28685981,NaN,-0.12421491,-0,-0.11077983,-0.01343508
2008,2,0,0,0,0,0,0
