start,pc1,SP500,MP_pm,CBI_pm,MP_median,CBI_median
1998-10-15 15:15,-0.20015769,2.09497,-0.20015769,-0,-0.22487991,0.02472222
1998-11-17 14:15,-0.03348512,0.63962,-0.03348512,-0,-0.05484585,0.02136073
1998-12-22 14:15,-0.00814286,-0.1237,-0,-0.00814286,0.0032976,-0.01144046
1999-02-03 14:15,0.01000772,0.17015,0,0.01000772,-0.00513228,0.01514
1999-03-30 14:15,-0.02554338,-0.16838,-0,-0.02554338,-0.002741,-0.02280238
1999-05-18 14:15,0.10189895,-1.38561,0.10189895,0,0.13349271,-0.03159376
1999-06-30 14:15,-0.1044436,1.60132,-0.1044436,-0,-0.14761526,0.04317166
1999-08-24 14:15,0.00728979,0.59237,0,0.00728979,-0.03164363,0.03893342
1999-10-05 14:15,0.06362078,-0.81193,0.06362078,0,0.0801785,-0.01655772
1999-11-16 14:15,0.07573805,-0.32364,0.07573805,0,0.05714883,0.01858922
1999-12-21 14:15,0.03219764,0.48527,0,0.03219764,-0.01280957,0.04500721
2000-02-02 14:15,-0.00583982,-0.3357,-0,-0.00583982,0.01707833,-0.02291815
2000-03-21 14:15,-0.00771107,-0.03942,-0,-0.00771107,-0.00150722,-0.00620385
2000-05-16 14:15,0.05916746,-0.64349,0.05916746,0,0.06791757,-0.00875011
2000-06-28 14:15,-0.03511403,0.26977,-0.03511403,-0,-0.03362769,-0.00148634
2000-08-22 14:15,0.04738727,-0.15955,0.04738727,0,0.03319831,0.01418896
2000-10-03 14:15,0.03857489,-0.22039,0.03857489,0,0.03241647,0.00615842
2000-11-15 14:15,0.00613288,-0.6872,0.00613288,0,0.04400416,-0.03787128
2000-12-19 14:15,0.02141004,-0.56081,0.02141004,0,0.04411346,-0.02270342
2001-01-03 13:15,-0.18147377,4.51038,-0.18147377,-0,-0.35942819,0.17795442
2001-01-31 14:15,-0.01148001,-0.51737,-0,-0.01148001,0.02508064,-0.03656065
2001-03-20 14:15,-0.06728913,-0.60045,-0,-0.06728913,0.0021253,-0.06941443
2001-04-18 10:55,-0.50285707,2.32456,-0.50285707,-0,-0.38990668,-0.11295039
2001-05-15 14:15,-0.1472675,0.37291,-0.1472675,-0,-0.09584866,-0.05141884
2001-06-27 14:12,0.08547509,-0.52379,0.08547509,0,0.07394064,0.01153445
2001-08-21 14:15,-0.08959379,-0.6934,-0,-0.08959379,-0.00348983,-0.08610396
2001-09-17 08:20,-0.07502446,NaN,-0,-0,0,0
2001-10-02 14:15,-0.05988541,-0.35196,-0,-0.05988541,-0.00897583,-0.05090958
2001-11-06 14:20,-0.17636748,0.6426,-0.17636748,-0,-0.12646456,-0.04990292
2001-12-11 14:14,-0.07196795,0.26526,-0.07196795,-0,-0.05178598,-0.02018197
2002-01-30 14:15,0.02615482,-0.03735,0.02615482,0,0.01530242,0.0108524
