start,description,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR
1990-12-19 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.03,0.03,0.05,NaN,NaN,0.00365,0,0.00635,0.03332,0.07516,NaN
1991-01-08 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.1,-0.11,-0.06001,-0.1,-0.13478,-0.12,-0.12,-0.09,-0.1,-0.02449,-0.05144,-0.06304,-0.04586,0.36169,0.48769,NaN
1991-02-01 09:15:00,"FOMC Rate Decision (Unscheduled)",-0.028,-0.02,-0.088,-0.08,-0.029036,-0.04,-0.05,-0.05,-0.03,-0.01138,0.01088,0.01323,0.01261,-0.04952,-0.4216,NaN
1991-02-01 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.042,-0.03,-0.132,-0.12,-0.043554,-0.06,-0.03,-0.03,-0.02,-0.013,-0.01814,-0.00883,-0.00631,0.27469,0.24808,NaN
1991-02-07 11:30:00,"FOMC Rate Decision (Scheduled)",0,-0.01,-0.02,-0.01,0,0,-0.01,0,-0.01,0,0,0,0.00936,-0.22618,0,NaN
1991-03-08 11:30:00,"FOMC Rate Decision (Unscheduled)",-0.02,-0.07,-0.06,-0.04,-0.02695,-0.06,-0.09,-0.06,-0.05,0.0049,-0.03319,-0.02706,-0.01636,0.48314,0.18428,NaN
1991-03-27 11:30:00,"FOMC Rate Decision (Scheduled)",0,-0.02,0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.09,0,-0.0037,-0.00905,-0.00656,0.12454,0.22335,NaN
1991-04-30 09:30:00,"FOMC Rate Decision (Unscheduled)",0,-0.192,-0.128,-0.202666666666667,-0.192,-0.16,-0.2,-0.18,-0.14,0,-0.09906,-0.06708,-0.04821,0.87611,0.91519,NaN
1991-04-30 11:30:00,"FOMC Rate Decision (Unscheduled)",-0,0.012,0.008,0.0126666666666667,0.012,0.01,0.02,0.03,0.04,-0.00814,0.011,0.00893,0.01283,-0.24202,-0.51693,NaN
1991-05-15 11:30:00,"FOMC Rate Decision (Scheduled)",0.01,0,0,-0.02,0.01938,0,0,0.01,0.01,-0.00325,0.00368,0.00901,0.00983,-0.24255,-0.08057,NaN
1991-07-05 11:30:00,"FOMC Rate Decision (Scheduled)",0,-0.01,0.01,0.01,0,0.02,0.02,0.02,0,0.01639,0.0149,0.02292,0.02699,-0.00533,-0.10592,NaN
